school_id,class,timestamp,stream
681,JSS1,02-01-2024,1
681,JSS2,02-01-2024,1
681,JSS3,02-01-2024,1
681,SSS1,02-01-2024,1
681,SSS2,02-01-2024,1
681,SSS3,02-01-2024,1
678,JSS1,02-01-2024,2
678,JSS2,02-01-2024,2
678,JSS3,02-01-2024,2
678,SSS1,02-01-2024,2
678,SSS2,02-01-2024,2
678,SSS3,02-01-2024,2
682,JSS1,02-01-2024,2
682,JSS2,02-01-2024,2
682,JSS3,02-01-2024,2
682,SSS1,02-01-2024,2
682,SSS2,02-01-2024,2
682,SSS3,02-01-2024,2
676,JSS1,02-01-2024,2
676,JSS2,02-01-2024,2
676,JSS3,02-01-2024,2
676,SSS1,02-01-2024,2
676,SSS2,02-01-2024,2
676,SSS3,02-01-2024,2
670,JSS1,02-01-2024,1
670,JSS2,02-01-2024,1
670,JSS3,02-01-2024,1
670,SSS1,02-01-2024,1
670,SSS2,02-01-2024,1
670,SSS3,02-01-2024,1
675,JSS1,02-01-2024,1
675,JSS2,02-01-2024,1
